latency type
0.584000 Rpeak
1.428000 Rpeak
2.252000 Rpeak
3.068000 Rpeak
3.904000 Rpeak
4.728000 Rpeak
5.520000 Rpeak
6.328000 Rpeak
7.156000 Rpeak
7.972000 Rpeak
8.780000 Rpeak
9.596000 Rpeak
10.404000 Rpeak
11.200000 Rpeak
12.012000 Rpeak
12.816000 Rpeak
13.608000 Rpeak
14.408000 Rpeak
15.208000 Rpeak
16.000000 Rpeak
16.816000 Rpeak
17.624000 Rpeak
18.400000 Rpeak
19.184000 Rpeak
19.976000 Rpeak
20.768000 Rpeak
21.540000 Rpeak
22.324000 Rpeak
23.128000 Rpeak
23.920000 Rpeak
24.708000 Rpeak
25.500000 Rpeak
26.288000 Rpeak
27.068000 Rpeak
27.860000 Rpeak
28.652000 Rpeak
29.444000 Rpeak
30.244000 Rpeak
31.060000 Rpeak
31.864000 Rpeak
32.664000 Rpeak
33.468000 Rpeak
34.252000 Rpeak
35.036000 Rpeak
35.832000 Rpeak
36.620000 Rpeak
37.412000 Rpeak
38.208000 Rpeak
39.008000 Rpeak
39.792000 Rpeak
40.584000 Rpeak
41.364000 Rpeak
42.132000 Rpeak
42.904000 Rpeak
43.672000 Rpeak
44.436000 Rpeak
45.212000 Rpeak
45.996000 Rpeak
46.776000 Rpeak
47.568000 Rpeak
48.368000 Rpeak
49.144000 Rpeak
49.924000 Rpeak
50.708000 Rpeak
51.480000 Rpeak
52.244000 Rpeak
53.024000 Rpeak
53.800000 Rpeak
54.572000 Rpeak
55.340000 Rpeak
56.096000 Rpeak
56.848000 Rpeak
57.616000 Rpeak
58.384000 Rpeak
59.140000 Rpeak
59.916000 Rpeak
60.700000 Rpeak
61.476000 Rpeak
62.260000 Rpeak
63.060000 Rpeak
63.836000 Rpeak
64.628000 Rpeak
65.424000 Rpeak
66.204000 Rpeak
66.992000 Rpeak
67.780000 Rpeak
68.560000 Rpeak
69.344000 Rpeak
70.144000 Rpeak
70.948000 Rpeak
71.736000 Rpeak
72.544000 Rpeak
73.336000 Rpeak
74.120000 Rpeak
74.892000 Rpeak
75.664000 Rpeak
76.448000 Rpeak
77.228000 Rpeak
78.036000 Rpeak
78.884000 Rpeak
79.704000 Rpeak
80.528000 Rpeak
81.340000 Rpeak
82.156000 Rpeak
82.960000 Rpeak
83.804000 Rpeak
84.640000 Rpeak
85.472000 Rpeak
86.320000 Rpeak
87.156000 Rpeak
87.976000 Rpeak
88.800000 Rpeak
89.636000 Rpeak
90.452000 Rpeak
91.276000 Rpeak
92.116000 Rpeak
92.952000 Rpeak
93.792000 Rpeak
94.632000 Rpeak
95.448000 Rpeak
96.264000 Rpeak
97.096000 Rpeak
97.896000 Rpeak
98.700000 Rpeak
