latency type
0.736000 Rpeak
1.764000 Rpeak
2.812000 Rpeak
3.836000 Rpeak
4.868000 Rpeak
5.904000 Rpeak
6.944000 Rpeak
7.972000 Rpeak
9.024000 Rpeak
10.068000 Rpeak
11.128000 Rpeak
12.244000 Rpeak
13.344000 Rpeak
14.416000 Rpeak
15.488000 Rpeak
16.528000 Rpeak
17.576000 Rpeak
18.612000 Rpeak
19.636000 Rpeak
20.680000 Rpeak
21.716000 Rpeak
22.756000 Rpeak
23.808000 Rpeak
24.828000 Rpeak
25.856000 Rpeak
26.892000 Rpeak
27.900000 Rpeak
28.920000 Rpeak
29.940000 Rpeak
30.944000 Rpeak
31.964000 Rpeak
32.972000 Rpeak
33.984000 Rpeak
35.016000 Rpeak
36.044000 Rpeak
37.076000 Rpeak
38.112000 Rpeak
39.132000 Rpeak
40.172000 Rpeak
41.196000 Rpeak
42.212000 Rpeak
43.244000 Rpeak
44.264000 Rpeak
45.280000 Rpeak
46.344000 Rpeak
47.412000 Rpeak
48.484000 Rpeak
49.588000 Rpeak
50.672000 Rpeak
51.780000 Rpeak
52.884000 Rpeak
53.980000 Rpeak
55.096000 Rpeak
56.168000 Rpeak
57.260000 Rpeak
58.328000 Rpeak
59.380000 Rpeak
60.456000 Rpeak
61.524000 Rpeak
62.592000 Rpeak
63.680000 Rpeak
64.724000 Rpeak
65.792000 Rpeak
66.852000 Rpeak
67.896000 Rpeak
68.968000 Rpeak
70.028000 Rpeak
71.088000 Rpeak
72.168000 Rpeak
73.224000 Rpeak
74.288000 Rpeak
75.352000 Rpeak
76.396000 Rpeak
77.444000 Rpeak
78.480000 Rpeak
79.516000 Rpeak
80.564000 Rpeak
81.620000 Rpeak
82.660000 Rpeak
83.716000 Rpeak
84.780000 Rpeak
85.832000 Rpeak
86.908000 Rpeak
87.996000 Rpeak
89.076000 Rectopic
89.784000 Rectopic
91.084000 Rpeak
92.260000 Rpeak
93.396000 Rpeak
94.488000 Rpeak
95.604000 Rpeak
96.720000 Rpeak
97.816000 Rpeak
98.940000 Rpeak
100.044000 Rpeak
101.136000 Rpeak
102.236000 Rpeak
103.308000 Rpeak
104.408000 Rpeak
105.480000 Rpeak
106.556000 Rpeak
107.624000 Rpeak
108.692000 Rpeak
109.764000 Rpeak
110.808000 Rpeak
111.876000 Rpeak
112.940000 Rpeak
113.996000 Rpeak
115.084000 Rpeak
116.164000 Rpeak
117.236000 Rpeak
118.300000 Rpeak
119.360000 Rpeak
120.436000 Rpeak
121.504000 Rpeak
122.560000 Rpeak
123.640000 Rpeak
124.688000 Rpeak
125.732000 Rpeak
126.776000 Rpeak
127.800000 Rpeak
128.836000 Rpeak
129.872000 Rpeak
130.888000 Rpeak
131.932000 Rpeak
132.980000 Rpeak
134.020000 Rpeak
135.084000 Rpeak
136.128000 Rpeak
137.188000 Rpeak
138.252000 Rpeak
139.300000 Rpeak
140.372000 Rpeak
141.440000 Rpeak
142.512000 Rpeak
143.584000 Rpeak
144.644000 Rpeak
145.716000 Rpeak
146.772000 Rpeak
147.840000 Rpeak
148.940000 Rpeak
150.000000 Rpeak
151.084000 Rpeak
152.152000 Rpeak
153.196000 Rpeak
154.268000 Rpeak
155.332000 Rpeak
156.396000 Rpeak
157.448000 Rpeak
158.480000 Rpeak
159.536000 Rpeak
160.588000 Rpeak
161.628000 Rpeak
162.684000 Rpeak
163.724000 Rpeak
164.772000 Rpeak
165.840000 Rpeak
166.888000 Rpeak
167.936000 Rpeak
168.988000 Rpeak
170.028000 Rpeak
171.080000 Rpeak
172.136000 Rpeak
173.176000 Rpeak
174.232000 Rpeak
175.272000 Rpeak
176.304000 Rpeak
177.360000 Rpeak
178.424000 Rpeak
179.476000 Rpeak
180.564000 Rpeak
181.640000 Rpeak
182.720000 Rpeak
183.808000 Rpeak
184.864000 Rpeak
185.952000 Rpeak
187.020000 Rpeak
188.088000 Rpeak
189.168000 Rpeak
190.232000 Rpeak
191.288000 Rpeak
192.352000 Rpeak
193.392000 Rpeak
194.452000 Rpeak
195.508000 Rpeak
196.572000 Rpeak
197.636000 Rpeak
198.668000 Rpeak
199.716000 Rpeak
200.772000 Rpeak
201.816000 Rpeak
202.892000 Rpeak
203.968000 Rpeak
205.028000 Rpeak
206.092000 Rpeak
207.128000 Rpeak
208.160000 Rpeak
209.192000 Rpeak
210.204000 Rpeak
211.240000 Rpeak
212.280000 Rpeak
213.312000 Rpeak
214.356000 Rpeak
215.388000 Rpeak
216.412000 Rpeak
217.448000 Rpeak
218.472000 Rpeak
219.500000 Rpeak
220.524000 Rpeak
221.540000 Rpeak
222.564000 Rpeak
223.572000 Rpeak
224.572000 Rpeak
225.612000 Rpeak
226.648000 Rpeak
227.676000 Rpeak
228.724000 Rpeak
229.780000 Rpeak
