latency type
0.480000 Rpeak
1.392000 Rpeak
2.288000 Rpeak
3.216000 Rpeak
4.128000 Rpeak
4.964000 Rpeak
5.796000 Rpeak
6.732000 Rpeak
7.712000 Rpeak
8.624000 Rpeak
9.540000 Rpeak
10.552000 Rpeak
11.616000 Rpeak
12.628000 Rpeak
13.568000 Rpeak
14.508000 Rpeak
15.488000 Rpeak
16.480000 Rpeak
17.400000 Rpeak
18.324000 Rpeak
19.336000 Rpeak
20.412000 Rpeak
21.432000 Rpeak
22.496000 Rpeak
23.564000 Rpeak
24.528000 Rpeak
25.476000 Rpeak
26.496000 Rpeak
27.536000 Rpeak
28.516000 Rpeak
29.524000 Rpeak
30.580000 Rpeak
31.596000 Rpeak
32.532000 Rpeak
33.556000 Rpeak
34.588000 Rpeak
35.540000 Rpeak
36.464000 Rpeak
37.492000 Rpeak
38.500000 Rpeak
39.492000 Rpeak
40.472000 Rpeak
41.536000 Rpeak
42.556000 Rpeak
43.460000 Rpeak
44.428000 Rpeak
45.464000 Rpeak
46.404000 Rpeak
47.364000 Rpeak
48.460000 Rpeak
49.544000 Rpeak
50.560000 Rpeak
51.636000 Rpeak
52.688000 Rpeak
53.608000 Rpeak
54.588000 Rpeak
55.660000 Rpeak
56.612000 Rpeak
57.552000 Rpeak
58.548000 Rpeak
59.580000 Rpeak
60.496000 Rpeak
61.348000 Rpeak
62.296000 Rpeak
63.332000 Rpeak
64.284000 Rpeak
65.392000 Rpeak
66.476000 Rpeak
67.408000 Rpeak
68.328000 Rpeak
69.308000 Rpeak
70.260000 Rpeak
71.108000 Rpeak
72.020000 Rpeak
73.044000 Rpeak
73.980000 Rpeak
74.840000 Rpeak
75.800000 Rpeak
76.804000 Rpeak
77.716000 Rpeak
78.580000 Rpeak
79.580000 Rpeak
80.680000 Rpeak
81.628000 Rpeak
82.592000 Rpeak
83.644000 Rpeak
84.580000 Rpeak
85.528000 Rpeak
86.608000 Rpeak
87.692000 Rpeak
