latency type
0.200000 Rpeak
1.176000 Rpeak
2.216000 Rpeak
3.156000 Rpeak
4.084000 Rpeak
5.144000 Rpeak
6.252000 Rpeak
7.232000 Rpeak
8.232000 Rpeak
9.280000 Rpeak
10.236000 Rpeak
11.100000 Rpeak
12.052000 Rpeak
13.164000 Rpeak
14.204000 Rpeak
15.152000 Rpeak
16.184000 Rpeak
17.300000 Rpeak
18.292000 Rpeak
19.268000 Rpeak
20.304000 Rpeak
21.328000 Rpeak
22.292000 Rpeak
23.280000 Rpeak
24.352000 Rpeak
25.372000 Rpeak
26.376000 Rpeak
27.436000 Rpeak
28.508000 Rpeak
29.484000 Rpeak
30.448000 Rpeak
31.440000 Rpeak
32.456000 Rpeak
33.452000 Rpeak
34.552000 Rpeak
35.608000 Rpeak
36.608000 Rpeak
37.668000 Rpeak
38.776000 Rpeak
39.776000 Rpeak
40.780000 Rpeak
41.832000 Rpeak
42.816000 Rpeak
43.772000 Rpeak
44.828000 Rpeak
45.896000 Rpeak
46.856000 Rpeak
47.832000 Rpeak
48.892000 Rpeak
49.932000 Rpeak
50.912000 Rpeak
51.960000 Rpeak
52.984000 Rpeak
53.924000 Rpeak
54.932000 Rpeak
56.032000 Rpeak
57.104000 Rpeak
58.092000 Rpeak
59.216000 Rpeak
60.296000 Rpeak
61.292000 Rpeak
62.280000 Rpeak
63.412000 Rpeak
64.492000 Rpeak
65.516000 Rpeak
66.612000 Rpeak
67.680000 Rpeak
68.668000 Rpeak
69.728000 Rpeak
70.816000 Rpeak
71.808000 Rpeak
72.820000 Rpeak
73.864000 Rpeak
74.888000 Rpeak
75.832000 Rpeak
76.884000 Rpeak
78.000000 Rpeak
78.984000 Rpeak
79.928000 Rpeak
80.980000 Rpeak
81.984000 Rpeak
82.872000 Rpeak
83.852000 Rpeak
84.968000 Rpeak
85.992000 Rpeak
86.996000 Rpeak
88.124000 Rpeak
89.236000 Rpeak
90.216000 Rpeak
91.184000 Rpeak
92.184000 Rpeak
93.168000 Rpeak
94.068000 Rpeak
95.036000 Rpeak
96.140000 Rpeak
97.200000 Rpeak
98.176000 Rpeak
99.264000 Rpeak
100.388000 Rpeak
101.488000 Rpeak
102.532000 Rpeak
103.600000 Rpeak
104.676000 Rpeak
105.660000 Rpeak
106.624000 Rpeak
107.656000 Rpeak
108.724000 Rpeak
109.716000 Rpeak
110.724000 Rpeak
111.792000 Rpeak
112.900000 Rpeak
113.916000 Rpeak
114.960000 Rpeak
116.036000 Rpeak
117.068000 Rpeak
118.040000 Rpeak
119.084000 Rpeak
120.204000 Rpeak
121.288000 Rpeak
122.256000 Rpeak
123.284000 Rpeak
124.284000 Rpeak
125.228000 Rpeak
126.204000 Rpeak
127.276000 Rpeak
128.252000 Rpeak
129.184000 Rpeak
130.208000 Rpeak
131.272000 Rpeak
132.256000 Rpeak
133.284000 Rpeak
134.364000 Rpeak
135.392000 Rpeak
136.344000 Rpeak
137.336000 Rpeak
138.300000 Rpeak
139.140000 Rpeak
140.024000 Rpeak
141.128000 Rpeak
142.236000 Rpeak
143.224000 Rpeak
144.280000 Rpeak
145.380000 Rpeak
146.360000 Rpeak
147.352000 Rpeak
148.380000 Rpeak
149.408000 Rpeak
150.352000 Rpeak
151.360000 Rpeak
152.464000 Rpeak
153.520000 Rpeak
154.484000 Rpeak
155.508000 Rpeak
156.548000 Rpeak
157.472000 Rpeak
158.380000 Rpeak
159.468000 Rpeak
160.592000 Rpeak
161.640000 Rpeak
162.616000 Rpeak
163.700000 Rpeak
164.820000 Rpeak
165.828000 Rpeak
166.776000 Rpeak
167.800000 Rpeak
168.848000 Rpeak
169.804000 Rpeak
170.764000 Rpeak
171.828000 Rpeak
172.904000 Rpeak
173.896000 Rpeak
174.836000 Rpeak
175.872000 Rpeak
176.932000 Rpeak
177.932000 Rpeak
178.832000 Rpeak
179.824000 Rpeak
180.916000 Rpeak
182.008000 Rpeak
182.988000 Rpeak
184.032000 Rpeak
185.100000 Rpeak
186.076000 Rpeak
187.052000 Rpeak
188.100000 Rpeak
189.108000 Rpeak
190.040000 Rpeak
191.024000 Rpeak
192.072000 Rpeak
193.036000 Rpeak
193.936000 Rpeak
194.940000 Rpeak
195.988000 Rpeak
196.932000 Rpeak
197.844000 Rpeak
198.916000 Rpeak
199.976000 Rpeak
200.916000 Rpeak
201.868000 Rpeak
202.880000 Rpeak
203.792000 Rpeak
204.704000 Rpeak
205.772000 Rpeak
206.884000 Rpeak
207.828000 Rpeak
208.804000 Rpeak
209.840000 Rpeak
