latency type
0.188000 Rpeak
0.848000 Rpeak
1.516000 Rpeak
2.208000 Rpeak
2.920000 Rpeak
3.648000 Rpeak
4.348000 Rpeak
5.060000 Rpeak
5.788000 Rpeak
6.524000 Rpeak
7.276000 Rpeak
7.984000 Rpeak
8.664000 Rpeak
9.348000 Rpeak
10.036000 Rpeak
10.744000 Rpeak
11.444000 Rpeak
12.128000 Rpeak
12.860000 Rpeak
13.628000 Rpeak
14.380000 Rpeak
15.096000 Rpeak
15.816000 Rpeak
16.524000 Rpeak
17.244000 Rpeak
17.952000 Rpeak
18.640000 Rpeak
19.328000 Rpeak
20.044000 Rpeak
20.760000 Rpeak
21.484000 Rpeak
22.200000 Rpeak
22.900000 Rpeak
23.636000 Rpeak
24.392000 Rpeak
25.136000 Rpeak
25.860000 Rpeak
26.540000 Rpeak
27.220000 Rpeak
27.920000 Rpeak
28.664000 Rpeak
29.412000 Rpeak
30.136000 Rpeak
30.852000 Rpeak
31.592000 Rpeak
32.356000 Rpeak
33.104000 Rpeak
33.840000 Rpeak
34.536000 Rpeak
35.216000 Rpeak
35.916000 Rpeak
36.616000 Rpeak
37.300000 Rpeak
37.984000 Rpeak
38.692000 Rpeak
39.424000 Rpeak
40.172000 Rpeak
40.900000 Rpeak
41.604000 Rpeak
42.292000 Rpeak
42.912000 Rpeak
43.520000 Rpeak
44.164000 Rpeak
44.852000 Rpeak
45.528000 Rpeak
46.212000 Rpeak
46.928000 Rpeak
47.660000 Rpeak
48.392000 Rpeak
49.108000 Rpeak
49.784000 Rpeak
50.476000 Rpeak
51.196000 Rpeak
51.960000 Rpeak
52.704000 Rpeak
53.420000 Rpeak
54.096000 Rpeak
54.784000 Rpeak
55.492000 Rpeak
56.212000 Rpeak
56.944000 Rpeak
57.648000 Rpeak
58.316000 Rpeak
59.004000 Rpeak
59.740000 Rpeak
60.468000 Rpeak
61.208000 Rpeak
61.940000 Rpeak
62.628000 Rpeak
63.284000 Rpeak
63.952000 Rpeak
64.632000 Rpeak
65.356000 Rpeak
66.088000 Rpeak
66.788000 Rpeak
67.464000 Rpeak
68.136000 Rpeak
68.832000 Rpeak
69.556000 Rpeak
70.272000 Rpeak
70.984000 Rpeak
71.652000 Rpeak
72.312000 Rpeak
72.972000 Rpeak
73.668000 Rpeak
74.360000 Rpeak
75.088000 Rpeak
75.824000 Rpeak
76.580000 Rpeak
77.316000 Rpeak
78.064000 Rpeak
78.796000 Rpeak
79.524000 Rpeak
80.208000 Rpeak
80.876000 Rpeak
81.556000 Rpeak
82.256000 Rpeak
82.952000 Rpeak
83.676000 Rpeak
84.408000 Rpeak
85.148000 Rpeak
85.884000 Rpeak
86.568000 Rpeak
87.244000 Rpeak
87.920000 Rpeak
88.620000 Rpeak
89.324000 Rpeak
90.008000 Rpeak
90.684000 Rpeak
91.392000 Rpeak
92.124000 Rpeak
92.876000 Rpeak
93.604000 Rpeak
94.288000 Rpeak
94.976000 Rpeak
95.656000 Rpeak
96.344000 Rpeak
97.052000 Rpeak
97.760000 Rpeak
98.480000 Rpeak
99.160000 Rpeak
99.820000 Rpeak
100.480000 Rpeak
101.152000 Rpeak
101.856000 Rpeak
102.584000 Rpeak
103.288000 Rpeak
103.968000 Rpeak
104.648000 Rpeak
105.336000 Rpeak
106.032000 Rpeak
106.736000 Rpeak
107.420000 Rpeak
108.104000 Rpeak
108.800000 Rpeak
109.528000 Rpeak
110.244000 Rpeak
110.916000 Rpeak
111.588000 Rpeak
112.264000 Rpeak
112.932000 Rpeak
113.596000 Rpeak
114.256000 Rpeak
114.916000 Rpeak
115.536000 Rpeak
116.160000 Rpeak
116.808000 Rpeak
117.492000 Rpeak
118.180000 Rpeak
118.848000 Rpeak
119.492000 Rpeak
120.116000 Rpeak
120.796000 Rpeak
121.512000 Rpeak
122.224000 Rpeak
122.940000 Rpeak
123.620000 Rpeak
124.272000 Rpeak
124.932000 Rpeak
125.636000 Rpeak
126.360000 Rpeak
127.088000 Rpeak
127.772000 Rpeak
128.436000 Rpeak
129.116000 Rpeak
129.800000 Rpeak
130.492000 Rpeak
131.196000 Rpeak
131.852000 Rpeak
132.504000 Rpeak
133.196000 Rpeak
133.916000 Rpeak
134.648000 Rpeak
135.372000 Rpeak
136.072000 Rpeak
136.772000 Rpeak
137.468000 Rpeak
138.164000 Rpeak
138.844000 Rpeak
139.512000 Rpeak
140.180000 Rpeak
140.876000 Rpeak
141.600000 Rpeak
142.332000 Rpeak
143.032000 Rpeak
143.708000 Rpeak
144.396000 Rpeak
145.088000 Rpeak
145.788000 Rpeak
146.460000 Rpeak
147.124000 Rpeak
147.820000 Rpeak
148.532000 Rpeak
149.228000 Rpeak
149.892000 Rpeak
150.540000 Rpeak
151.196000 Rpeak
151.876000 Rpeak
152.528000 Rpeak
153.172000 Rpeak
153.836000 Rpeak
154.492000 Rpeak
155.152000 Rpeak
155.860000 Rpeak
156.568000 Rpeak
157.284000 Rpeak
157.964000 Rpeak
158.620000 Rpeak
159.264000 Rpeak
159.936000 Rpeak
160.616000 Rpeak
161.260000 Rpeak
161.864000 Rpeak
162.472000 Rpeak
163.108000 Rpeak
163.736000 Rpeak
164.368000 Rpeak
165.028000 Rpeak
165.712000 Rpeak
166.400000 Rpeak
167.048000 Rpeak
167.688000 Rpeak
168.328000 Rpeak
168.984000 Rpeak
169.632000 Rpeak
170.252000 Rpeak
170.876000 Rpeak
171.528000 Rpeak
172.228000 Rpeak
172.956000 Rpeak
173.664000 Rpeak
174.344000 Rpeak
175.032000 Rpeak
175.712000 Rpeak
176.384000 Rpeak
177.028000 Rpeak
177.688000 Rpeak
178.356000 Rpeak
179.044000 Rpeak
179.740000 Rpeak
180.416000 Rpeak
181.076000 Rpeak
181.744000 Rpeak
182.444000 Rpeak
183.164000 Rpeak
183.844000 Rpeak
184.496000 Rpeak
185.152000 Rpeak
185.820000 Rpeak
186.508000 Rpeak
187.176000 Rpeak
187.836000 Rpeak
188.496000 Rpeak
189.172000 Rpeak
189.860000 Rpeak
190.552000 Rpeak
191.204000 Rpeak
