latency type
0.188000 Rpeak
0.800000 Rpeak
1.452000 Rpeak
2.116000 Rpeak
2.792000 Rpeak
3.492000 Rpeak
4.216000 Rpeak
4.940000 Rpeak
5.656000 Rpeak
6.348000 Rpeak
7.028000 Rpeak
7.728000 Rpeak
8.424000 Rpeak
9.092000 Rpeak
9.748000 Rpeak
10.400000 Rpeak
11.052000 Rpeak
11.716000 Rpeak
12.372000 Rpeak
13.036000 Rpeak
13.732000 Rpeak
14.432000 Rpeak
15.152000 Rpeak
15.828000 Rpeak
16.492000 Rpeak
17.148000 Rpeak
17.816000 Rpeak
18.468000 Rpeak
19.108000 Rpeak
19.736000 Rpeak
20.392000 Rpeak
21.076000 Rpeak
21.800000 Rpeak
22.520000 Rpeak
23.240000 Rpeak
23.952000 Rpeak
24.652000 Rpeak
25.348000 Rpeak
26.020000 Rpeak
26.668000 Rpeak
27.320000 Rpeak
27.976000 Rpeak
28.652000 Rpeak
29.352000 Rpeak
30.040000 Rpeak
30.736000 Rpeak
31.444000 Rpeak
32.152000 Rpeak
32.828000 Rpeak
33.496000 Rpeak
34.168000 Rpeak
34.852000 Rpeak
35.548000 Rpeak
36.232000 Rpeak
36.908000 Rpeak
37.608000 Rpeak
38.288000 Rpeak
38.964000 Rpeak
39.624000 Rpeak
40.268000 Rpeak
40.920000 Rpeak
41.596000 Rpeak
42.300000 Rpeak
43.000000 Rpeak
43.676000 Rpeak
44.348000 Rpeak
45.016000 Rpeak
45.680000 Rpeak
46.336000 Rpeak
46.972000 Rpeak
47.612000 Rpeak
48.280000 Rpeak
48.984000 Rpeak
49.704000 Rpeak
50.404000 Rpeak
51.104000 Rpeak
51.840000 Rpeak
52.572000 Rpeak
53.284000 Rpeak
53.968000 Rpeak
54.628000 Rpeak
55.280000 Rpeak
55.940000 Rpeak
56.636000 Rpeak
57.308000 Rpeak
57.968000 Rpeak
58.644000 Rpeak
59.316000 Rpeak
59.992000 Rpeak
60.664000 Rpeak
61.320000 Rpeak
61.972000 Rpeak
62.640000 Rpeak
63.352000 Rpeak
64.064000 Rpeak
64.720000 Rpeak
65.380000 Rpeak
66.024000 Rpeak
66.684000 Rpeak
67.356000 Rpeak
68.000000 Rpeak
68.668000 Rpeak
69.356000 Rpeak
70.052000 Rpeak
70.756000 Rpeak
71.480000 Rpeak
72.204000 Rpeak
72.932000 Rpeak
73.656000 Rpeak
74.344000 Rpeak
75.020000 Rpeak
75.696000 Rpeak
76.380000 Rpeak
77.080000 Rpeak
77.796000 Rpeak
78.508000 Rpeak
79.244000 Rpeak
79.976000 Rpeak
80.680000 Rpeak
81.380000 Rpeak
82.056000 Rpeak
82.728000 Rpeak
83.440000 Rpeak
