latency type
0.100000 Rpeak
1.140000 Rpeak
2.204000 Rpeak
3.296000 Rpeak
4.356000 Rpeak
5.396000 Rpeak
6.476000 Rpeak
7.576000 Rpeak
8.616000 Rpeak
9.640000 Rpeak
10.724000 Rpeak
11.840000 Rpeak
12.904000 Rpeak
13.988000 Rpeak
15.104000 Rpeak
16.216000 Rpeak
17.292000 Rpeak
18.392000 Rpeak
19.512000 Rpeak
20.608000 Rpeak
21.700000 Rpeak
22.840000 Rpeak
24.016000 Rpeak
25.132000 Rpeak
26.240000 Rpeak
27.352000 Rpeak
28.416000 Rpeak
29.440000 Rpeak
30.520000 Rpeak
31.664000 Rpeak
32.772000 Rpeak
33.864000 Rpeak
34.996000 Rpeak
36.116000 Rpeak
37.132000 Rpeak
38.184000 Rpeak
39.284000 Rpeak
40.340000 Rpeak
41.408000 Rpeak
42.520000 Rpeak
43.684000 Rpeak
44.744000 Rpeak
45.804000 Rpeak
46.884000 Rpeak
47.944000 Rpeak
48.984000 Rpeak
50.040000 Rpeak
51.152000 Rpeak
52.212000 Rpeak
53.248000 Rpeak
54.332000 Rpeak
55.456000 Rpeak
56.532000 Rpeak
57.584000 Rpeak
58.672000 Rpeak
59.768000 Rpeak
60.784000 Rpeak
61.792000 Rpeak
62.852000 Rpeak
63.972000 Rpeak
65.036000 Rpeak
66.124000 Rpeak
67.232000 Rpeak
68.284000 Rpeak
69.308000 Rpeak
70.408000 Rpeak
71.528000 Rpeak
72.588000 Rpeak
73.692000 Rpeak
74.856000 Rpeak
75.972000 Rpeak
77.024000 Rpeak
78.108000 Rpeak
79.220000 Rpeak
80.264000 Rpeak
81.328000 Rpeak
82.468000 Rpeak
83.588000 Rpeak
84.632000 Rpeak
85.696000 Rpeak
86.812000 Rpeak
87.876000 Rpeak
88.948000 Rpeak
90.032000 Rpeak
91.060000 Rpeak
92.052000 Rpeak
93.096000 Rpeak
94.220000 Rpeak
95.300000 Rpeak
96.384000 Rpeak
97.496000 Rpeak
98.572000 Rpeak
99.592000 Rpeak
100.632000 Rpeak
101.740000 Rpeak
102.840000 Rpeak
103.876000 Rpeak
104.948000 Rpeak
106.028000 Rpeak
107.072000 Rpeak
108.152000 Rpeak
109.304000 Rpeak
110.440000 Rpeak
111.532000 Rpeak
112.632000 Rpeak
113.736000 Rpeak
114.792000 Rpeak
115.892000 Rpeak
117.044000 Rpeak
118.196000 Rpeak
119.296000 Rpeak
120.416000 Rpeak
121.548000 Rpeak
122.620000 Rpeak
123.696000 Rpeak
124.812000 Rpeak
125.952000 Rpeak
127.028000 Rpeak
128.156000 Rpeak
129.320000 Rpeak
130.452000 Rpeak
131.548000 Rpeak
132.680000 Rpeak
133.840000 Rpeak
134.912000 Rpeak
135.984000 Rpeak
137.064000 Rpeak
138.124000 Rpeak
139.168000 Rpeak
140.276000 Rpeak
141.432000 Rpeak
142.536000 Rpeak
143.604000 Rpeak
144.704000 Rpeak
145.832000 Rpeak
146.892000 Rpeak
147.972000 Rpeak
149.100000 Rpeak
150.200000 Rpeak
151.240000 Rpeak
152.284000 Rpeak
153.324000 Rpeak
154.308000 Rpeak
155.348000 Rpeak
156.460000 Rpeak
157.552000 Rpeak
158.588000 Rpeak
159.664000 Rpeak
160.776000 Rpeak
161.792000 Rpeak
162.816000 Rpeak
163.840000 Rpeak
164.852000 Rpeak
165.856000 Rpeak
166.916000 Rpeak
167.996000 Rpeak
169.028000 Rpeak
170.092000 Rpeak
171.184000 Rpeak
172.268000 Rpeak
173.312000 Rpeak
174.364000 Rpeak
175.436000 Rpeak
176.468000 Rpeak
177.492000 Rpeak
178.532000 Rpeak
179.628000 Rpeak
180.644000 Rpeak
181.656000 Rpeak
182.692000 Rpeak
183.724000 Rpeak
184.788000 Rpeak
185.860000 Rpeak
186.944000 Rpeak
187.996000 Rpeak
189.064000 Rpeak
190.168000 Rpeak
191.208000 Rpeak
192.276000 Rpeak
193.356000 Rpeak
194.368000 Rpeak
195.388000 Rpeak
196.440000 Rpeak
197.480000 Rpeak
198.492000 Rpeak
199.512000 Rpeak
200.592000 Rpeak
201.636000 Rpeak
202.684000 Rpeak
203.744000 Rpeak
204.828000 Rpeak
205.844000 Rpeak
206.900000 Rpeak
207.992000 Rpeak
209.032000 Rpeak
210.060000 Rpeak
211.096000 Rpeak
212.156000 Rpeak
213.176000 Rpeak
214.232000 Rpeak
215.320000 Rpeak
216.336000 Rpeak
217.368000 Rpeak
218.388000 Rpeak
219.424000 Rpeak
220.464000 Rpeak
221.532000 Rpeak
222.648000 Rpeak
223.696000 Rpeak
224.712000 Rpeak
225.732000 Rpeak
226.800000 Rpeak
227.852000 Rpeak
228.912000 Rpeak
230.028000 Rpeak
231.148000 Rpeak
232.172000 Rpeak
233.216000 Rpeak
234.260000 Rpeak
235.288000 Rpeak
236.312000 Rpeak
237.384000 Rpeak
238.508000 Rpeak
