latency type
0.408000 Rpeak
1.228000 Rpeak
2.060000 Rpeak
2.880000 Rpeak
3.652000 Rpeak
4.396000 Rpeak
5.184000 Rpeak
5.988000 Rpeak
6.892000 Rpeak
7.768000 Rpeak
8.612000 Rpeak
9.424000 Rpeak
10.220000 Rpeak
11.012000 Rpeak
11.820000 Rpeak
12.632000 Rpeak
13.428000 Rpeak
14.252000 Rpeak
15.080000 Rpeak
15.936000 Rpeak
16.808000 Rpeak
17.676000 Rpeak
18.528000 Rpeak
19.372000 Rpeak
20.220000 Rpeak
21.072000 Rpeak
21.920000 Rpeak
22.792000 Rpeak
23.644000 Rpeak
24.492000 Rpeak
25.344000 Rpeak
26.180000 Rpeak
27.008000 Rpeak
27.852000 Rpeak
28.712000 Rpeak
29.560000 Rpeak
30.396000 Rpeak
31.236000 Rpeak
32.128000 Rpeak
33.020000 Rpeak
33.864000 Rpeak
34.700000 Rpeak
35.548000 Rpeak
36.380000 Rpeak
37.232000 Rpeak
38.040000 Rpeak
38.864000 Rpeak
39.708000 Rpeak
40.592000 Rpeak
41.468000 Rpeak
42.284000 Rpeak
43.128000 Rpeak
43.956000 Rpeak
44.800000 Rectopic
46.304000 Rectopic
47.172000 Rpeak
48.052000 Rpeak
48.864000 Rpeak
49.648000 Rpeak
50.460000 Rpeak
51.284000 Rpeak
52.152000 Rpeak
52.964000 Rpeak
53.760000 Rpeak
54.556000 Rpeak
55.376000 Rpeak
56.184000 Rpeak
56.968000 Rpeak
57.776000 Rpeak
58.576000 Rpeak
59.384000 Rpeak
60.168000 Rpeak
60.960000 Rpeak
61.748000 Rpeak
62.572000 Rpeak
63.416000 Rpeak
64.216000 Rpeak
65.024000 Rpeak
65.816000 Rpeak
66.624000 Rpeak
67.416000 Rpeak
68.196000 Rpeak
68.984000 Rpeak
69.792000 Rpeak
70.620000 Rpeak
71.424000 Rpeak
72.204000 Rpeak
72.996000 Rpeak
73.824000 Rpeak
74.636000 Rpeak
75.424000 Rpeak
76.220000 Rpeak
77.008000 Rpeak
77.820000 Rpeak
78.628000 Rpeak
79.416000 Rpeak
80.196000 Rpeak
80.976000 Rpeak
