latency type
0.784000 Rpeak
1.624000 Rpeak
2.452000 Rpeak
3.292000 Rpeak
4.124000 Rpeak
4.948000 Rpeak
5.756000 Rpeak
6.608000 Rpeak
7.504000 Rpeak
8.404000 Rpeak
9.256000 Rpeak
10.136000 Rpeak
11.020000 Rpeak
11.864000 Rpeak
12.680000 Rpeak
13.496000 Rpeak
14.332000 Rpeak
15.168000 Rpeak
15.996000 Rpeak
16.816000 Rpeak
17.656000 Rpeak
18.508000 Rpeak
19.360000 Rpeak
20.200000 Rpeak
21.048000 Rpeak
21.940000 Rpeak
22.832000 Rpeak
23.696000 Rpeak
24.584000 Rpeak
25.460000 Rpeak
26.332000 Rpeak
27.188000 Rpeak
28.052000 Rpeak
28.916000 Rpeak
29.828000 Rpeak
30.716000 Rpeak
31.564000 Rpeak
32.436000 Rpeak
33.316000 Rpeak
34.204000 Rpeak
35.096000 Rpeak
35.968000 Rpeak
36.856000 Rpeak
37.760000 Rpeak
38.620000 Rpeak
39.484000 Rpeak
40.360000 Rpeak
41.276000 Rpeak
42.196000 Rpeak
43.052000 Rpeak
43.924000 Rpeak
44.772000 Rpeak
45.616000 Rpeak
46.436000 Rpeak
47.276000 Rpeak
48.104000 Rpeak
48.964000 Rpeak
49.820000 Rpeak
50.656000 Rpeak
51.496000 Rpeak
52.360000 Rpeak
53.176000 Rpeak
54.020000 Rectopic
54.524000 Rectopic
55.696000 Rectopic
56.484000 Rpeak
57.288000 Rpeak
58.088000 Rpeak
58.880000 Rpeak
59.708000 Rpeak
60.532000 Rpeak
61.376000 Rpeak
62.236000 Rpeak
63.060000 Rpeak
63.880000 Rpeak
64.724000 Rpeak
65.572000 Rpeak
66.396000 Rpeak
67.204000 Rpeak
68.004000 Rpeak
68.792000 Rpeak
69.580000 Rpeak
70.360000 Rpeak
71.148000 Rpeak
71.940000 Rpeak
72.756000 Rpeak
73.568000 Rpeak
74.400000 Rpeak
75.200000 Rpeak
76.012000 Rpeak
76.816000 Rpeak
77.628000 Rpeak
78.456000 Rpeak
79.324000 Rpeak
80.160000 Rpeak
80.988000 Rpeak
81.840000 Rpeak
82.720000 Rpeak
83.568000 Rpeak
84.376000 Rpeak
85.216000 Rpeak
85.856000 Rpeak
86.908000 Rpeak
87.696000 Rpeak
88.536000 Rpeak
89.360000 Rpeak
90.208000 Rpeak
91.056000 Rpeak
91.932000 Rpeak
92.808000 Rpeak
93.644000 Rpeak
94.468000 Rpeak
95.300000 Rpeak
96.136000 Rpeak
96.944000 Rpeak
97.776000 Rpeak
98.636000 Rpeak
99.504000 Rpeak
100.324000 Rpeak
101.152000 Rpeak
101.980000 Rpeak
102.796000 Rpeak
103.600000 Rpeak
104.404000 Rpeak
105.220000 Rpeak
106.052000 Rpeak
106.868000 Rpeak
107.688000 Rpeak
108.520000 Rpeak
109.352000 Rpeak
110.152000 Rpeak
110.960000 Rpeak
111.768000 Rpeak
112.580000 Rpeak
113.388000 Rpeak
114.200000 Rpeak
114.992000 Rpeak
115.792000 Rpeak
116.580000 Rpeak
117.380000 Rpeak
118.192000 Rpeak
118.992000 Rpeak
119.800000 Rpeak
120.608000 Rpeak
121.428000 Rpeak
122.208000 Rpeak
122.980000 Rpeak
123.748000 Rpeak
124.528000 Rpeak
125.312000 Rpeak
126.096000 Rpeak
126.900000 Rpeak
127.696000 Rpeak
128.484000 Rpeak
129.300000 Rpeak
130.152000 Rpeak
130.948000 Rpeak
131.732000 Rpeak
132.520000 Rpeak
133.332000 Rpeak
134.128000 Rpeak
134.900000 Rpeak
135.676000 Rpeak
136.460000 Rpeak
137.264000 Rpeak
138.056000 Rpeak
138.844000 Rpeak
139.664000 Rpeak
140.460000 Rpeak
141.256000 Rpeak
142.044000 Rpeak
142.864000 Rpeak
143.680000 Rpeak
144.492000 Rpeak
145.316000 Rpeak
146.176000 Rpeak
147.008000 Rpeak
147.824000 Rpeak
148.632000 Rpeak
149.440000 Rpeak
150.236000 Rpeak
151.060000 Rpeak
151.872000 Rpeak
152.688000 Rpeak
153.480000 Rpeak
154.276000 Rpeak
155.064000 Rpeak
155.832000 Rpeak
156.600000 Rpeak
157.396000 Rpeak
158.216000 Rpeak
159.020000 Rpeak
159.824000 Rpeak
160.640000 Rpeak
161.456000 Rpeak
162.284000 Rpeak
163.092000 Rpeak
163.876000 Rpeak
164.648000 Rpeak
165.408000 Rpeak
166.184000 Rpeak
166.964000 Rpeak
167.740000 Rpeak
168.540000 Rpeak
169.360000 Rpeak
170.148000 Rpeak
170.928000 Rpeak
171.720000 Rpeak
172.512000 Rpeak
173.312000 Rpeak
174.096000 Rpeak
174.892000 Rpeak
175.684000 Rpeak
176.464000 Rpeak
177.252000 Rpeak
178.052000 Rpeak
178.840000 Rectopic
179.340000 Rectopic
180.432000 Rpeak
181.180000 Rpeak
181.908000 Rpeak
182.628000 Rpeak
183.360000 Rpeak
184.120000 Rpeak
184.892000 Rpeak
185.668000 Rpeak
186.476000 Rpeak
187.260000 Rpeak
188.032000 Rpeak
188.820000 Rpeak
189.612000 Rpeak
190.384000 Rpeak
191.144000 Rpeak
191.912000 Rpeak
192.688000 Rpeak
193.448000 Rpeak
194.216000 Rpeak
194.988000 Rpeak
195.740000 Rpeak
196.504000 Rpeak
197.260000 Rpeak
198.028000 Rpeak
198.792000 Rpeak
199.548000 Rpeak
200.308000 Rpeak
201.104000 Rpeak
201.908000 Rpeak
202.688000 Rpeak
203.468000 Rpeak
204.248000 Rpeak
205.020000 Rpeak
205.792000 Rpeak
206.564000 Rpeak
207.352000 Rpeak
208.128000 Rpeak
208.900000 Rpeak
209.680000 Rpeak
210.440000 Rpeak
211.196000 Rpeak
211.952000 Rpeak
212.724000 Rpeak
213.516000 Rpeak
214.312000 Rpeak
215.076000 Rpeak
215.848000 Rpeak
216.676000 Rpeak
217.500000 Rpeak
218.276000 Rpeak
219.044000 Rpeak
219.796000 Rpeak
220.552000 Rpeak
221.308000 Rpeak
222.052000 Rpeak
222.812000 Rpeak
223.592000 Rpeak
224.392000 Rpeak
225.184000 Rpeak
225.968000 Rpeak
226.760000 Rpeak
227.532000 Rpeak
228.280000 Rpeak
229.044000 Rpeak
229.808000 Rpeak
230.572000 Rpeak
231.324000 Rpeak
232.092000 Rpeak
232.884000 Rpeak
233.676000 Rpeak
234.440000 Rpeak
235.208000 Rpeak
235.984000 Rpeak
236.776000 Rpeak
237.548000 Rpeak
238.320000 Rpeak
239.088000 Rpeak
239.876000 Rpeak
240.668000 Rpeak
241.440000 Rpeak
242.240000 Rpeak
243.092000 Rpeak
243.868000 Rpeak
244.652000 Rpeak
245.432000 Rpeak
246.212000 Rpeak
246.992000 Rpeak
247.764000 Rpeak
248.528000 Rpeak
249.308000 Rpeak
250.084000 Rpeak
250.864000 Rpeak
251.652000 Rpeak
252.420000 Rpeak
253.196000 Rpeak
253.952000 Rpeak
254.708000 Rpeak
255.460000 Rpeak
256.240000 Rpeak
256.992000 Rpeak
257.740000 Rpeak
258.492000 Rpeak
259.264000 Rpeak
260.036000 Rpeak
260.788000 Rpeak
261.544000 Rpeak
262.312000 Rpeak
263.080000 Rpeak
263.832000 Rpeak
264.600000 Rpeak
265.348000 Rpeak
266.128000 Rpeak
266.900000 Rpeak
267.664000 Rpeak
268.448000 Rpeak
269.220000 Rpeak
269.976000 Rpeak
270.732000 Rpeak
271.488000 Rpeak
272.272000 Rpeak
273.040000 Rpeak
273.808000 Rpeak
274.508000 Rpeak
275.452000 Rpeak
276.264000 Rpeak
277.060000 Rpeak
277.848000 Rpeak
278.640000 Rpeak
279.452000 Rpeak
280.236000 Rpeak
281.008000 Rpeak
281.796000 Rpeak
282.616000 Rpeak
283.412000 Rpeak
284.204000 Rpeak
284.992000 Rpeak
285.792000 Rpeak
286.572000 Rpeak
287.336000 Rpeak
288.104000 Rpeak
288.900000 Rpeak
289.696000 Rpeak
290.476000 Rpeak
291.264000 Rpeak
292.060000 Rpeak
292.840000 Rpeak
293.632000 Rpeak
294.440000 Rpeak
295.248000 Rpeak
296.028000 Rpeak
296.780000 Rpeak
297.548000 Rpeak
298.312000 Rpeak
299.092000 Rpeak
299.864000 Rpeak
300.660000 Rpeak
301.460000 Rpeak
302.240000 Rpeak
303.000000 Rpeak
303.756000 Rpeak
304.508000 Rpeak
305.276000 Rpeak
306.032000 Rpeak
306.812000 Rpeak
307.580000 Rpeak
308.368000 Rpeak
309.144000 Rpeak
309.960000 Rpeak
310.720000 Rpeak
311.480000 Rpeak
312.240000 Rpeak
313.016000 Rpeak
313.800000 Rpeak
314.588000 Rpeak
315.372000 Rpeak
316.160000 Rpeak
316.936000 Rpeak
317.716000 Rpeak
318.484000 Rpeak
319.236000 Rpeak
319.984000 Rpeak
320.752000 Rpeak
321.520000 Rpeak
322.284000 Rpeak
323.052000 Rpeak
323.836000 Rpeak
324.616000 Rpeak
325.380000 Rpeak
326.132000 Rpeak
326.896000 Rpeak
327.664000 Rpeak
328.440000 Rpeak
329.216000 Rpeak
329.984000 Rpeak
330.764000 Rpeak
331.588000 Rpeak
332.384000 Rpeak
333.160000 Rpeak
333.940000 Rpeak
334.716000 Rpeak
335.480000 Rectopic
335.948000 Rectopic
337.012000 Rpeak
337.736000 Rpeak
338.472000 Rpeak
339.216000 Rpeak
339.968000 Rpeak
340.716000 Rpeak
341.512000 Rpeak
342.284000 Rpeak
343.088000 Rpeak
343.876000 Rpeak
344.704000 Rpeak
345.512000 Rpeak
346.304000 Rpeak
347.100000 Rpeak
347.872000 Rpeak
348.624000 Rpeak
349.376000 Rpeak
350.124000 Rpeak
350.896000 Rpeak
351.656000 Rpeak
352.416000 Rpeak
353.184000 Rpeak
353.984000 Rpeak
354.788000 Rpeak
355.568000 Rpeak
356.340000 Rpeak
357.100000 Rpeak
357.892000 Rpeak
358.664000 Rpeak
359.420000 Rpeak
360.168000 Rpeak
360.940000 Rpeak
361.744000 Rpeak
362.564000 Rpeak
363.360000 Rpeak
364.152000 Rpeak
364.972000 Rpeak
365.760000 Rpeak
366.552000 Rpeak
367.340000 Rpeak
368.152000 Rpeak
368.932000 Rpeak
369.716000 Rpeak
370.496000 Rpeak
371.308000 Rpeak
372.108000 Rpeak
372.884000 Rpeak
373.656000 Rpeak
374.444000 Rpeak
375.248000 Rpeak
376.032000 Rpeak
376.816000 Rpeak
377.604000 Rpeak
378.392000 Rpeak
379.172000 Rpeak
379.964000 Rpeak
380.740000 Rpeak
381.520000 Rpeak
382.312000 Rpeak
383.092000 Rpeak
383.864000 Rpeak
384.652000 Rpeak
385.440000 Rpeak
386.216000 Rpeak
387.036000 Rpeak
387.856000 Rpeak
388.660000 Rpeak
389.468000 Rpeak
390.280000 Rpeak
391.092000 Rpeak
391.876000 Rpeak
392.660000 Rpeak
393.464000 Rpeak
394.284000 Rpeak
395.072000 Rpeak
395.848000 Rpeak
