latency type
0.400000 Rpeak
1.536000 Rpeak
2.700000 Rpeak
3.872000 Rpeak
4.992000 Rpeak
6.136000 Rpeak
7.312000 Rpeak
8.452000 Rpeak
9.624000 Rpeak
10.824000 Rpeak
12.016000 Rpeak
13.196000 Rpeak
14.388000 Rpeak
15.556000 Rpeak
16.668000 Rpeak
17.816000 Rpeak
18.956000 Rpeak
20.044000 Rpeak
21.204000 Rpeak
22.400000 Rpeak
23.568000 Rpeak
24.736000 Rpeak
25.920000 Rpeak
27.088000 Rpeak
28.212000 Rpeak
29.368000 Rpeak
30.540000 Rpeak
31.664000 Rpeak
32.796000 Rpeak
33.948000 Rpeak
35.096000 Rpeak
36.220000 Rpeak
37.392000 Rpeak
38.560000 Rpeak
39.672000 Rpeak
40.832000 Rpeak
42.008000 Rpeak
43.112000 Rpeak
44.256000 Rpeak
45.396000 Rpeak
46.488000 Rpeak
47.612000 Rpeak
48.756000 Rpeak
49.856000 Rpeak
50.996000 Rpeak
52.152000 Rpeak
53.244000 Rpeak
54.380000 Rpeak
55.524000 Rpeak
56.636000 Rpeak
57.780000 Rpeak
58.936000 Rpeak
60.048000 Rpeak
61.180000 Rpeak
62.328000 Rpeak
63.440000 Rpeak
64.584000 Rpeak
65.748000 Rpeak
66.880000 Rpeak
68.004000 Rpeak
69.152000 Rpeak
70.268000 Rpeak
71.372000 Rpeak
72.500000 Rpeak
73.632000 Rpeak
74.708000 Rpeak
75.816000 Rpeak
76.940000 Rpeak
78.040000 Rpeak
79.152000 Rpeak
80.284000 Rpeak
81.388000 Rpeak
82.496000 Rpeak
83.628000 Rpeak
84.740000 Rpeak
85.844000 Rpeak
86.988000 Rpeak
88.108000 Rpeak
89.188000 Rpeak
90.308000 Rpeak
91.436000 Rpeak
92.520000 Rpeak
93.648000 Rpeak
94.788000 Rpeak
95.884000 Rpeak
97.004000 Rpeak
98.144000 Rpeak
99.300000 Rpeak
100.396000 Rpeak
101.536000 Rpeak
102.692000 Rpeak
103.808000 Rpeak
104.928000 Rpeak
106.064000 Rpeak
107.184000 Rpeak
108.288000 Rpeak
109.420000 Rpeak
110.532000 Rpeak
111.640000 Rpeak
112.776000 Rpeak
113.896000 Rpeak
114.988000 Rpeak
116.108000 Rpeak
117.208000 Rpeak
118.296000 Rpeak
119.412000 Rpeak
120.500000 Rpeak
121.592000 Rpeak
122.704000 Rpeak
123.828000 Rpeak
124.896000 Rpeak
126.000000 Rpeak
127.104000 Rpeak
128.180000 Rpeak
129.312000 Rpeak
130.472000 Rpeak
131.596000 Rpeak
132.720000 Rpeak
133.872000 Rpeak
135.000000 Rpeak
136.108000 Rpeak
137.228000 Rpeak
138.332000 Rpeak
139.392000 Rpeak
140.472000 Rpeak
141.536000 Rpeak
142.556000 Rpeak
143.616000 Rpeak
144.688000 Rpeak
145.728000 Rpeak
146.832000 Rpeak
147.972000 Rpeak
149.052000 Rpeak
150.156000 Rpeak
151.268000 Rpeak
152.356000 Rpeak
153.424000 Rpeak
154.508000 Rpeak
155.584000 Rpeak
156.632000 Rpeak
157.720000 Rpeak
158.816000 Rpeak
159.880000 Rpeak
160.988000 Rpeak
162.096000 Rpeak
163.180000 Rpeak
164.300000 Rpeak
165.432000 Rpeak
166.524000 Rpeak
167.648000 Rpeak
168.772000 Rpeak
169.864000 Rpeak
170.964000 Rpeak
172.088000 Rpeak
173.204000 Rpeak
174.284000 Rpeak
175.408000 Rpeak
176.544000 Rpeak
177.636000 Rpeak
178.752000 Rpeak
179.876000 Rpeak
180.984000 Rpeak
182.088000 Rpeak
183.212000 Rpeak
184.324000 Rpeak
185.420000 Rpeak
186.548000 Rpeak
187.692000 Rpeak
188.772000 Rpeak
189.900000 Rpeak
191.016000 Rpeak
192.092000 Rpeak
193.196000 Rpeak
194.320000 Rpeak
195.424000 Rpeak
196.508000 Rpeak
197.632000 Rpeak
198.780000 Rpeak
199.912000 Rpeak
201.060000 Rpeak
202.164000 Rpeak
203.284000 Rpeak
204.416000 Rpeak
205.496000 Rpeak
206.608000 Rpeak
207.724000 Rpeak
208.796000 Rpeak
209.904000 Rpeak
211.016000 Rpeak
212.096000 Rpeak
213.176000 Rpeak
214.296000 Rpeak
215.420000 Rpeak
216.504000 Rpeak
217.600000 Rpeak
218.716000 Rpeak
219.812000 Rpeak
220.888000 Rpeak
221.996000 Rpeak
223.108000 Rpeak
224.176000 Rpeak
225.280000 Rpeak
226.388000 Rpeak
227.492000 Rpeak
228.584000 Rpeak
229.680000 Rpeak
230.748000 Rpeak
231.824000 Rpeak
232.912000 Rpeak
