latency type
0.592000 Rpeak
1.836000 Rpeak
3.064000 Rpeak
4.296000 Rpeak
5.532000 Rpeak
6.768000 Rpeak
7.996000 Rpeak
9.196000 Rpeak
10.368000 Rpeak
11.560000 Rpeak
12.780000 Rpeak
13.988000 Rpeak
15.252000 Rpeak
16.504000 Rpeak
17.676000 Rpeak
18.892000 Rpeak
20.132000 Rpeak
21.332000 Rpeak
22.564000 Rpeak
23.788000 Rpeak
24.956000 Rpeak
26.136000 Rpeak
27.340000 Rpeak
28.524000 Rpeak
29.756000 Rpeak
30.972000 Rpeak
32.124000 Rpeak
33.304000 Rpeak
34.464000 Rpeak
35.588000 Rpeak
36.736000 Rpeak
37.940000 Rpeak
39.112000 Rpeak
40.288000 Rpeak
41.504000 Rpeak
42.680000 Rpeak
43.888000 Rpeak
45.116000 Rpeak
46.336000 Rpeak
47.532000 Rpeak
48.748000 Rpeak
49.964000 Rpeak
51.164000 Rpeak
52.416000 Rpeak
53.672000 Rpeak
54.872000 Rpeak
56.080000 Rpeak
57.304000 Rpeak
58.508000 Rpeak
59.724000 Rpeak
60.972000 Rpeak
62.196000 Rpeak
63.396000 Rpeak
64.612000 Rpeak
65.788000 Rpeak
66.932000 Rpeak
68.112000 Rpeak
69.344000 Rpeak
70.528000 Rpeak
71.744000 Rpeak
72.952000 Rpeak
74.116000 Rpeak
75.308000 Rpeak
76.524000 Rpeak
77.720000 Rpeak
78.952000 Rpeak
80.172000 Rpeak
81.356000 Rpeak
82.572000 Rpeak
83.812000 Rpeak
85.004000 Rpeak
86.220000 Rpeak
87.432000 Rpeak
88.616000 Rpeak
89.836000 Rpeak
91.072000 Rpeak
92.280000 Rpeak
93.544000 Rpeak
94.748000 Rpeak
95.948000 Rpeak
97.156000 Rpeak
98.344000 Rpeak
99.536000 Rpeak
100.744000 Rpeak
101.976000 Rpeak
103.148000 Rpeak
104.344000 Rpeak
105.536000 Rpeak
106.720000 Rpeak
107.928000 Rpeak
109.156000 Rpeak
110.348000 Rpeak
111.568000 Rpeak
112.764000 Rpeak
113.976000 Rpeak
115.204000 Rpeak
116.412000 Rpeak
117.664000 Rpeak
118.892000 Rpeak
120.076000 Rpeak
121.272000 Rpeak
122.424000 Rpeak
123.604000 Rpeak
124.796000 Rpeak
125.976000 Rpeak
127.180000 Rpeak
128.396000 Rpeak
129.588000 Rpeak
130.804000 Rpeak
132.028000 Rpeak
133.232000 Rpeak
134.484000 Rpeak
135.740000 Rpeak
136.944000 Rpeak
138.188000 Rpeak
139.456000 Rpeak
140.688000 Rpeak
141.944000 Rpeak
143.192000 Rpeak
144.384000 Rpeak
145.608000 Rpeak
146.856000 Rpeak
148.044000 Rpeak
149.252000 Rpeak
150.448000 Rpeak
151.632000 Rpeak
152.848000 Rpeak
154.060000 Rpeak
155.268000 Rpeak
156.480000 Rpeak
157.652000 Rpeak
158.856000 Rpeak
160.072000 Rpeak
161.252000 Rpeak
162.464000 Rpeak
163.728000 Rpeak
164.956000 Rpeak
166.188000 Rpeak
167.412000 Rpeak
168.628000 Rpeak
169.884000 Rpeak
171.168000 Rpeak
172.408000 Rpeak
173.624000 Rpeak
174.848000 Rpeak
176.056000 Rpeak
177.256000 Rpeak
178.484000 Rpeak
179.720000 Rpeak
180.936000 Rpeak
182.172000 Rpeak
183.356000 Rpeak
184.536000 Rpeak
185.736000 Rpeak
186.940000 Rpeak
188.160000 Rpeak
189.352000 Rpeak
190.548000 Rpeak
191.756000 Rpeak
192.940000 Rpeak
194.164000 Rpeak
195.416000 Rpeak
196.628000 Rpeak
197.824000 Rpeak
199.032000 Rpeak
200.228000 Rpeak
201.412000 Rpeak
202.644000 Rpeak
203.848000 Rpeak
205.044000 Rpeak
206.268000 Rpeak
207.452000 Rpeak
208.640000 Rpeak
209.872000 Rpeak
211.080000 Rpeak
212.244000 Rpeak
213.460000 Rpeak
214.660000 Rpeak
215.860000 Rpeak
217.088000 Rpeak
218.320000 Rpeak
219.572000 Rpeak
220.812000 Rpeak
222.020000 Rpeak
223.236000 Rpeak
224.480000 Rpeak
225.680000 Rpeak
226.912000 Rpeak
228.176000 Rpeak
229.392000 Rpeak
230.628000 Rpeak
231.872000 Rpeak
233.080000 Rpeak
234.328000 Rpeak
235.604000 Rpeak
236.800000 Rpeak
238.016000 Rpeak
239.232000 Rpeak
240.436000 Rpeak
241.668000 Rpeak
242.896000 Rpeak
244.060000 Rpeak
245.248000 Rpeak
246.404000 Rpeak
247.560000 Rpeak
248.764000 Rpeak
249.972000 Rpeak
251.164000 Rpeak
252.372000 Rpeak
253.536000 Rpeak
254.720000 Rpeak
255.908000 Rpeak
257.088000 Rpeak
258.300000 Rpeak
259.484000 Rpeak
260.664000 Rpeak
261.872000 Rpeak
263.088000 Rpeak
264.304000 Rpeak
265.520000 Rpeak
266.700000 Rpeak
267.896000 Rpeak
269.092000 Rpeak
270.268000 Rpeak
271.492000 Rpeak
272.716000 Rpeak
273.900000 Rpeak
275.100000 Rpeak
276.288000 Rpeak
277.496000 Rpeak
278.744000 Rpeak
279.936000 Rpeak
281.020000 Rpeak
282.164000 Rpeak
283.344000 Rpeak
284.556000 Rpeak
285.804000 Rpeak
287.028000 Rpeak
288.236000 Rpeak
289.440000 Rpeak
290.628000 Rpeak
291.832000 Rpeak
293.052000 Rpeak
294.260000 Rpeak
295.444000 Rpeak
296.644000 Rpeak
297.836000 Rpeak
299.012000 Rpeak
300.204000 Rpeak
301.428000 Rpeak
302.620000 Rpeak
303.816000 Rpeak
305.016000 Rpeak
306.200000 Rpeak
307.392000 Rpeak
308.624000 Rpeak
309.832000 Rpeak
311.016000 Rpeak
312.204000 Rpeak
313.380000 Rpeak
314.548000 Rpeak
315.768000 Rpeak
316.988000 Rpeak
318.184000 Rpeak
319.412000 Rpeak
320.628000 Rpeak
321.808000 Rpeak
323.028000 Rpeak
324.212000 Rpeak
325.360000 Rpeak
326.540000 Rpeak
327.720000 Rpeak
328.900000 Rpeak
330.096000 Rpeak
331.280000 Rpeak
332.480000 Rpeak
333.676000 Rpeak
334.840000 Rpeak
336.036000 Rpeak
337.236000 Rpeak
338.416000 Rpeak
339.628000 Rpeak
340.848000 Rpeak
342.012000 Rpeak
343.208000 Rpeak
344.412000 Rpeak
345.608000 Rpeak
346.840000 Rpeak
348.072000 Rpeak
349.268000 Rpeak
350.480000 Rpeak
351.684000 Rpeak
352.864000 Rpeak
354.088000 Rpeak
355.300000 Rpeak
356.468000 Rpeak
357.656000 Rpeak
358.836000 Rpeak
360.016000 Rpeak
361.212000 Rpeak
362.412000 Rpeak
363.600000 Rpeak
364.800000 Rpeak
366.008000 Rpeak
367.176000 Rpeak
368.380000 Rpeak
369.580000 Rpeak
370.792000 Rpeak
372.004000 Rpeak
373.184000 Rpeak
374.372000 Rpeak
375.568000 Rpeak
376.724000 Rpeak
377.896000 Rpeak
379.108000 Rpeak
380.264000 Rpeak
381.440000 Rpeak
382.632000 Rpeak
383.784000 Rpeak
384.980000 Rpeak
386.176000 Rpeak
387.360000 Rpeak
388.556000 Rpeak
389.712000 Rpeak
390.872000 Rpeak
392.052000 Rpeak
393.216000 Rpeak
394.388000 Rpeak
395.560000 Rpeak
396.696000 Rpeak
397.856000 Rpeak
399.020000 Rpeak
400.208000 Rpeak
401.420000 Rpeak
402.596000 Rpeak
403.808000 Rpeak
405.016000 Rpeak
406.180000 Rpeak
407.368000 Rpeak
408.556000 Rpeak
409.708000 Rpeak
410.896000 Rpeak
412.084000 Rpeak
413.232000 Rpeak
414.388000 Rpeak
415.516000 Rpeak
416.648000 Rpeak
417.788000 Rpeak
418.916000 Rpeak
420.056000 Rpeak
421.232000 Rpeak
422.388000 Rpeak
423.536000 Rpeak
424.708000 Rpeak
425.860000 Rpeak
427.064000 Rpeak
428.272000 Rpeak
429.432000 Rpeak
430.604000 Rpeak
431.720000 Rpeak
432.804000 Rpeak
433.960000 Rpeak
435.108000 Rpeak
436.292000 Rpeak
437.492000 Rpeak
438.648000 Rpeak
439.816000 Rpeak
440.992000 Rpeak
442.128000 Rpeak
443.284000 Rpeak
444.472000 Rpeak
445.632000 Rpeak
446.824000 Rpeak
448.024000 Rpeak
449.180000 Rpeak
450.364000 Rpeak
451.548000 Rpeak
452.704000 Rpeak
455.048000 Rpeak
456.184000 Rpeak
457.368000 Rpeak
458.560000 Rpeak
459.736000 Rpeak
460.956000 Rpeak
462.168000 Rpeak
463.328000 Rpeak
465.660000 Rpeak
466.796000 Rpeak
467.984000 Rpeak
469.192000 Rpeak
470.372000 Rpeak
471.560000 Rpeak
471.560000 Rpeak
472.712000 Rpeak
473.856000 Rpeak
475.008000 Rpeak
476.168000 Rpeak
477.340000 Rpeak
478.536000 Rpeak
479.732000 Rpeak
480.924000 Rpeak
482.148000 Rpeak
0.860000 Tpeak
2.108000 Tpeak
3.336000 Tpeak
4.568000 Tpeak
5.804000 Tpeak
7.040000 Tpeak
8.268000 Tpeak
9.464000 Tpeak
10.636000 Tpeak
11.832000 Tpeak
13.052000 Tpeak
14.264000 Tpeak
15.528000 Tpeak
16.772000 Tpeak
17.952000 Tpeak
19.164000 Tpeak
20.400000 Tpeak
21.604000 Tpeak
22.840000 Tpeak
24.060000 Tpeak
25.228000 Tpeak
26.408000 Tpeak
27.612000 Tpeak
28.800000 Tpeak
30.028000 Tpeak
31.244000 Tpeak
32.396000 Tpeak
33.576000 Tpeak
34.736000 Tpeak
35.860000 Tpeak
37.012000 Tpeak
38.212000 Tpeak
39.384000 Tpeak
40.564000 Tpeak
41.776000 Tpeak
42.952000 Tpeak
44.164000 Tpeak
45.392000 Tpeak
46.608000 Tpeak
47.808000 Tpeak
49.024000 Tpeak
50.236000 Tpeak
51.440000 Tpeak
52.688000 Tpeak
53.944000 Tpeak
55.148000 Tpeak
56.352000 Tpeak
57.580000 Tpeak
58.784000 Tpeak
60.000000 Tpeak
61.244000 Tpeak
62.472000 Tpeak
63.676000 Tpeak
64.884000 Tpeak
66.060000 Tpeak
67.204000 Tpeak
68.388000 Tpeak
69.616000 Tpeak
70.804000 Tpeak
72.020000 Tpeak
73.228000 Tpeak
74.388000 Tpeak
75.584000 Tpeak
76.796000 Tpeak
77.996000 Tpeak
79.228000 Tpeak
80.448000 Tpeak
81.628000 Tpeak
82.848000 Tpeak
84.084000 Tpeak
85.280000 Tpeak
86.492000 Tpeak
87.704000 Tpeak
88.892000 Tpeak
90.112000 Tpeak
91.348000 Tpeak
92.552000 Tpeak
93.820000 Tpeak
95.028000 Tpeak
96.224000 Tpeak
97.432000 Tpeak
98.620000 Tpeak
99.812000 Tpeak
101.020000 Tpeak
102.252000 Tpeak
103.424000 Tpeak
104.624000 Tpeak
105.812000 Tpeak
106.992000 Tpeak
108.208000 Tpeak
109.432000 Tpeak
110.624000 Tpeak
111.844000 Tpeak
113.040000 Tpeak
114.252000 Tpeak
115.480000 Tpeak
116.688000 Tpeak
117.940000 Tpeak
119.168000 Tpeak
120.352000 Tpeak
121.548000 Tpeak
122.700000 Tpeak
123.880000 Tpeak
125.072000 Tpeak
126.252000 Tpeak
127.456000 Tpeak
128.672000 Tpeak
129.864000 Tpeak
131.084000 Tpeak
132.304000 Tpeak
133.508000 Tpeak
134.760000 Tpeak
136.016000 Tpeak
137.220000 Tpeak
138.464000 Tpeak
139.732000 Tpeak
140.964000 Tpeak
142.224000 Tpeak
143.468000 Tpeak
144.664000 Tpeak
145.888000 Tpeak
147.136000 Tpeak
148.320000 Tpeak
149.532000 Tpeak
150.724000 Tpeak
151.912000 Tpeak
153.124000 Tpeak
154.336000 Tpeak
155.544000 Tpeak
156.756000 Tpeak
157.932000 Tpeak
159.132000 Tpeak
160.348000 Tpeak
161.532000 Tpeak
162.744000 Tpeak
164.004000 Tpeak
165.232000 Tpeak
166.464000 Tpeak
167.692000 Tpeak
168.908000 Tpeak
170.160000 Tpeak
171.448000 Tpeak
172.684000 Tpeak
173.904000 Tpeak
175.124000 Tpeak
176.332000 Tpeak
177.532000 Tpeak
178.764000 Tpeak
179.996000 Tpeak
181.212000 Tpeak
182.448000 Tpeak
183.640000 Tpeak
184.812000 Tpeak
186.016000 Tpeak
187.220000 Tpeak
188.436000 Tpeak
189.632000 Tpeak
190.828000 Tpeak
192.036000 Tpeak
193.220000 Tpeak
194.440000 Tpeak
195.692000 Tpeak
196.904000 Tpeak
198.100000 Tpeak
199.308000 Tpeak
200.500000 Tpeak
201.688000 Tpeak
202.920000 Tpeak
204.124000 Tpeak
205.324000 Tpeak
206.548000 Tpeak
207.728000 Tpeak
208.920000 Tpeak
210.144000 Tpeak
211.356000 Tpeak
212.520000 Tpeak
213.736000 Tpeak
214.936000 Tpeak
216.136000 Tpeak
