latency type
0.028000 Rpeak
1.304000 Rpeak
2.608000 Rpeak
3.912000 Rpeak
5.188000 Rpeak
6.492000 Rpeak
7.800000 Rpeak
9.112000 Rpeak
10.360000 Rpeak
11.632000 Rpeak
12.920000 Rpeak
14.184000 Rpeak
15.440000 Rpeak
16.712000 Rpeak
17.976000 Rpeak
19.220000 Rpeak
20.488000 Rpeak
21.780000 Rpeak
23.008000 Rpeak
24.280000 Rpeak
25.576000 Rpeak
26.848000 Rpeak
28.120000 Rpeak
29.420000 Rpeak
30.664000 Rpeak
31.904000 Rpeak
33.160000 Rpeak
34.404000 Rpeak
35.616000 Rpeak
36.880000 Rpeak
38.180000 Rpeak
39.412000 Rpeak
40.596000 Rpeak
41.832000 Rpeak
43.056000 Rpeak
44.292000 Rpeak
45.556000 Rpeak
46.760000 Rpeak
48.004000 Rpeak
49.252000 Rpeak
50.436000 Rpeak
51.664000 Rpeak
52.912000 Rpeak
54.128000 Rpeak
55.408000 Rpeak
56.700000 Rpeak
57.920000 Rpeak
59.156000 Rpeak
60.404000 Rpeak
61.628000 Rpeak
62.896000 Rpeak
64.172000 Rpeak
65.392000 Rpeak
66.652000 Rpeak
67.912000 Rpeak
69.140000 Rpeak
70.396000 Rpeak
71.664000 Rpeak
72.872000 Rpeak
74.140000 Rpeak
75.416000 Rpeak
76.648000 Rpeak
77.912000 Rpeak
79.176000 Rpeak
80.404000 Rpeak
81.668000 Rpeak
82.944000 Rpeak
84.172000 Rpeak
85.444000 Rpeak
86.712000 Rpeak
87.944000 Rpeak
89.216000 Rpeak
90.488000 Rpeak
91.732000 Rpeak
93.000000 Rpeak
94.248000 Rpeak
95.464000 Rpeak
96.728000 Rpeak
97.972000 Rpeak
99.168000 Rpeak
100.416000 Rpeak
101.684000 Rpeak
102.892000 Rpeak
104.152000 Rpeak
105.428000 Rpeak
106.656000 Rpeak
107.916000 Rpeak
109.184000 Rpeak
110.396000 Rpeak
111.640000 Rpeak
112.872000 Rpeak
114.044000 Rpeak
115.252000 Rpeak
116.460000 Rpeak
117.640000 Rpeak
118.864000 Rpeak
120.112000 Rpeak
121.320000 Rpeak
122.568000 Rpeak
123.808000 Rpeak
125.016000 Rpeak
126.268000 Rpeak
127.528000 Rpeak
128.752000 Rpeak
130.032000 Rpeak
131.296000 Rpeak
132.508000 Rpeak
133.752000 Rpeak
135.020000 Rpeak
136.232000 Rpeak
137.492000 Rpeak
138.756000 Rpeak
139.992000 Rpeak
141.252000 Rpeak
142.504000 Rpeak
143.728000 Rpeak
145.008000 Rpeak
146.280000 Rpeak
147.532000 Rpeak
148.804000 Rpeak
150.056000 Rpeak
151.280000 Rpeak
152.544000 Rpeak
153.808000 Rpeak
155.052000 Rpeak
156.320000 Rpeak
157.560000 Rpeak
158.792000 Rpeak
160.032000 Rpeak
161.244000 Rpeak
162.456000 Rpeak
163.708000 Rpeak
164.932000 Rpeak
166.168000 Rpeak
167.424000 Rpeak
168.660000 Rpeak
169.924000 Rpeak
171.200000 Rpeak
172.420000 Rpeak
173.688000 Rpeak
174.956000 Rpeak
176.192000 Rpeak
177.476000 Rpeak
178.760000 Rpeak
180.000000 Rpeak
181.272000 Rpeak
182.532000 Rpeak
183.764000 Rpeak
185.024000 Rpeak
186.264000 Rpeak
187.492000 Rpeak
188.744000 Rpeak
189.984000 Rpeak
191.192000 Rpeak
192.440000 Rpeak
193.688000 Rpeak
194.916000 Rpeak
196.160000 Rpeak
197.384000 Rpeak
198.596000 Rpeak
199.848000 Rpeak
201.068000 Rpeak
202.268000 Rpeak
203.488000 Rpeak
204.704000 Rpeak
205.884000 Rpeak
207.108000 Rpeak
208.324000 Rpeak
209.536000 Rpeak
210.780000 Rpeak
212.000000 Rpeak
213.224000 Rpeak
214.496000 Rpeak
215.768000 Rpeak
217.024000 Rpeak
