latency type
0.172000 Rpeak
1.104000 Rpeak
2.340000 Rpeak
3.612000 Rpeak
4.864000 Rpeak
6.132000 Rpeak
7.432000 Rpeak
8.692000 Rpeak
9.960000 Rpeak
11.216000 Rpeak
12.448000 Rpeak
13.720000 Rpeak
15.016000 Rpeak
16.284000 Rpeak
17.556000 Rpeak
18.788000 Rpeak
20.036000 Rpeak
21.320000 Rpeak
22.600000 Rpeak
23.888000 Rpeak
25.156000 Rpeak
26.372000 Rpeak
27.600000 Rpeak
28.864000 Rpeak
30.116000 Rpeak
31.376000 Rpeak
32.608000 Rpeak
33.856000 Rpeak
35.108000 Rpeak
36.332000 Rpeak
37.576000 Rpeak
38.816000 Rpeak
40.020000 Rpeak
41.248000 Rpeak
42.476000 Rpeak
43.716000 Rpeak
44.988000 Rpeak
46.224000 Rpeak
47.476000 Rpeak
48.752000 Rpeak
49.980000 Rpeak
51.228000 Rpeak
52.512000 Rpeak
53.756000 Rpeak
54.996000 Rpeak
56.264000 Rpeak
57.512000 Rpeak
58.768000 Rpeak
60.068000 Rpeak
61.328000 Rpeak
62.592000 Rpeak
63.872000 Rpeak
65.120000 Rpeak
66.408000 Rpeak
67.700000 Rpeak
68.936000 Rpeak
70.188000 Rpeak
71.480000 Rpeak
72.720000 Rpeak
74.024000 Rpeak
75.312000 Rpeak
76.548000 Rpeak
77.800000 Rpeak
79.032000 Rpeak
80.244000 Rpeak
81.488000 Rpeak
82.692000 Rpeak
83.920000 Rpeak
85.148000 Rpeak
86.348000 Rpeak
87.572000 Rpeak
88.800000 Rpeak
90.012000 Rpeak
91.244000 Rpeak
92.448000 Rpeak
93.672000 Rpeak
94.908000 Rpeak
96.120000 Rpeak
97.352000 Rpeak
98.616000 Rpeak
99.852000 Rpeak
101.104000 Rpeak
102.364000 Rpeak
103.588000 Rpeak
104.840000 Rpeak
106.096000 Rpeak
107.340000 Rpeak
108.628000 Rpeak
109.888000 Rpeak
111.140000 Rpeak
112.404000 Rpeak
113.636000 Rpeak
114.892000 Rpeak
116.160000 Rpeak
117.388000 Rpeak
118.632000 Rpeak
119.892000 Rpeak
121.108000 Rpeak
122.328000 Rpeak
123.556000 Rpeak
124.744000 Rpeak
125.948000 Rpeak
127.220000 Rpeak
128.480000 Rpeak
129.728000 Rpeak
130.972000 Rpeak
132.192000 Rpeak
133.428000 Rpeak
134.712000 Rpeak
135.972000 Rpeak
137.232000 Rpeak
138.508000 Rpeak
139.748000 Rpeak
141.016000 Rpeak
142.268000 Rpeak
143.472000 Rpeak
144.712000 Rpeak
145.952000 Rpeak
147.168000 Rpeak
148.416000 Rpeak
149.660000 Rpeak
150.880000 Rpeak
152.124000 Rpeak
153.348000 Rpeak
154.600000 Rpeak
155.864000 Rpeak
157.084000 Rpeak
158.328000 Rpeak
159.552000 Rpeak
160.768000 Rpeak
162.004000 Rpeak
163.236000 Rpeak
164.496000 Rpeak
165.780000 Rpeak
167.012000 Rpeak
168.140000 Rpeak
169.280000 Rpeak
170.468000 Rpeak
171.680000 Rpeak
172.924000 Rpeak
174.208000 Rpeak
175.468000 Rpeak
176.708000 Rpeak
177.936000 Rpeak
179.152000 Rpeak
180.392000 Rpeak
181.624000 Rpeak
182.832000 Rpeak
184.060000 Rpeak
185.292000 Rpeak
186.488000 Rpeak
187.700000 Rpeak
188.920000 Rpeak
190.112000 Rpeak
191.324000 Rpeak
192.560000 Rpeak
193.800000 Rpeak
195.060000 Rpeak
196.324000 Rpeak
197.536000 Rpeak
198.752000 Rpeak
199.044000 Rpeak
199.980000 Rpeak
201.176000 Rpeak
202.416000 Rpeak
203.660000 Rpeak
204.856000 Rpeak
206.080000 Rpeak
207.300000 Rpeak
208.504000 Rpeak
209.736000 Rpeak
210.940000 Rpeak
212.168000 Rpeak
213.384000 Rpeak
214.568000 Rpeak
215.784000 Rpeak
217.000000 Rpeak
218.220000 Rpeak
219.488000 Rpeak
220.720000 Rpeak
221.932000 Rpeak
223.160000 Rpeak
224.368000 Rpeak
225.568000 Rpeak
226.796000 Rpeak
227.996000 Rpeak
229.212000 Rpeak
230.416000 Rpeak
231.636000 Rpeak
232.884000 Rpeak
234.132000 Rpeak
235.380000 Rpeak
236.632000 Rpeak
237.868000 Rpeak
239.120000 Rpeak
240.352000 Rpeak
241.588000 Rpeak
242.852000 Rpeak
244.100000 Rpeak
245.352000 Rpeak
246.612000 Rpeak
247.844000 Rpeak
249.084000 Rpeak
250.344000 Rpeak
251.596000 Rpeak
252.840000 Rpeak
254.096000 Rpeak
255.304000 Rpeak
256.548000 Rpeak
257.800000 Rpeak
259.024000 Rpeak
260.280000 Rpeak
261.508000 Rpeak
262.740000 Rpeak
264.004000 Rpeak
265.224000 Rpeak
266.444000 Rpeak
267.668000 Rpeak
268.860000 Rpeak
270.064000 Rpeak
271.280000 Rpeak
272.464000 Rpeak
273.664000 Rpeak
274.912000 Rpeak
276.132000 Rpeak
277.380000 Rpeak
278.628000 Rpeak
279.844000 Rpeak
281.088000 Rpeak
282.352000 Rpeak
283.576000 Rpeak
284.804000 Rpeak
286.016000 Rpeak
287.232000 Rpeak
288.484000 Rpeak
289.700000 Rpeak
290.948000 Rpeak
292.216000 Rpeak
293.440000 Rpeak
